name_ar,name_en,sector,region,classification,matched_pattern,confidence,website
البنك الأهلي السعودي,SNB,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alahli.com
مصرف الراجحي,Al Rajhi Bank,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alrajhibank.com.sa
بنك الرياض,Riyad Bank,الخدمات المالية,منطقة الرياض,private,default,low,https://www.riyadbank.com
البنك الأول,SAB,الخدمات المالية,منطقة الرياض,private,default,low,https://www.sab.com
مصرف الإنماء,Alinma Bank,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alinma.com
البنك السعودي الفرنسي,Banque Saudi Fransi,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alfransi.com.sa
بنك البلاد,Bank Albilad,الخدمات المالية,منطقة الرياض,private,default,low,https://www.bankalbilad.com
البنك العربي الوطني,ANB,الخدمات المالية,منطقة الرياض,private,default,low,https://www.anb.com.sa
البنك السعودي للاستثمار,SAIB,الخدمات المالية,منطقة الرياض,private,default,low,https://www.saib.com.sa
بنك الجزيرة,Bank AlJazira,الخدمات المالية,منطقة مكة المكرمة,private,default,low,https://www.aljazirabank.com.sa
بنك الخليج الدولي,GIB Saudi Arabia,الخدمات المالية,المنطقة الشرقية,private,default,low,https://www.gib.com
شركة إس تي سي باي,stc pay,الخدمات المالية,منطقة الرياض,private,default,low,https://stcpay.com.sa
شركة يورباي,urpay,الخدمات المالية,منطقة الرياض,private,default,low,https://urpay.com.sa
الأهلي المالية,SNB Capital,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alahlicapital.com
الراجحي المالية,Al Rajhi Capital,الخدمات المالية,منطقة الرياض,private,default,low,https://www.alrajhi-capital.com
مجموعة سيرا,Seera Group,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://www.seera.sa
شركة المسافر,Almosafer,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://www.almosafer.com
طيبة للاستثمار,Taiba Investments,الخدمات المالية,منطقة المدينة المنورة,private,default,low,https://www.taiba.com.sa
دور للضيافة,Dur Hospitality,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.dur.sa
مجموعة الخزامى,Al Khozama Group,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://www.alkhozama.com
كروز السعودية,Cruise Saudi,السياحة والضيافة والثقافة,منطقة مكة المكرمة,semi_government,semi:كروز السعودية,high,https://www.cruisesaudi.com
شركة أسفار,ASFAR,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://asfar.com
مجموعة بوتيك,Boutique Group,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://www.boutiquegroup.com
شركة دان,Dan Company,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://dancompany.sa
مجموعة الحكير للسياحة والتنمية,Alhokair Group,السياحة والضيافة والثقافة,منطقة الرياض,private,default,low,https://www.alhokair.com
البحر الأحمر الدولية للضيافة,Red Sea Global Hospitality,الرعاية الصحية وعلوم الحياة,منطقة الرياض,semi_government,semi:البحر الأحمر الدولية,high,https://www.redseaglobalhospitality.com
أرويا كروز,AROYA Cruises,السياحة والضيافة والثقافة,منطقة مكة المكرمة,private,default,low,https://aroya.com
مجموعة إس تي سي,stc Group,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.stc.com.sa
شركة موبايلي,Mobily,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.mobily.com.sa
زين السعودية,Zain KSA,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://sa.zain.com
شركة عِلم,Elm,التقنية والاقتصاد الرقمي,منطقة الرياض,semi_government,semi:شركة عِلم,high,https://www.elm.sa
الشركة السعودية للذكاء الاصطناعي,SCAI,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://scai.sa
الشركة السعودية لتقنية المعلومات,SITE,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://site.sa
شركة ثقة,Thiqah,التقنية والاقتصاد الرقمي,منطقة الرياض,semi_government,semi:شركة ثقة,high,https://thiqah.sa
شركة لين لخدمات الأعمال,Lean,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://lean.sa
الشركة السعودية للتحكم التقني والأمني,Tahakom,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.tahakom.com
سلوشنز باي إس تي سي,solutions by stc,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://solutions.com.sa
شركة سرار,sirar by stc,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://sirar.com.sa
المُعَمَّر لأنظمة المعلومات,MIS,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.mis.com.sa
أنظمة الحاسب الآلي العربي,ACS,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.acs.com.sa
شركة إجادة للنظم,Ejada Systems,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://www.ejada.com
ديتاساد,DETASAD,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://detasad.com.sa
منصة سلة,Salla,التقنية والاقتصاد الرقمي,منطقة مكة المكرمة,private,default,low,https://salla.com
شركة يونيفونيك,Unifonic,التقنية والاقتصاد الرقمي,منطقة الرياض,private,private_override:يونيفونيك,high,https://www.unifonic.com
شركة توال,TAWAL,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://tawal.com.sa
شركة مُزن,Mozn,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://mozn.sa
شركة لوسيديا,Lucidya,التقنية والاقتصاد الرقمي,منطقة الرياض,private,default,low,https://lucidya.com
شركة سال السعودية للخدمات اللوجستية,SAL,الخدمات اللوجستية والنقل,منطقة مكة المكرمة,private,default,low,https://sal.sa
الشركة الوطنية للسعودية للنقل البحري,Bahri,الخدمات المهنية والاستشارية,منطقة الرياض,semi_government,semi:الشركة الوطنية للسعودية للنقل البحري,high,https://www.bahri.sa
الخطوط الحديدية السعودية,SAR,التعدين والمعادن والمواد,منطقة الرياض,semi_government,semi:الخطوط الحديدية السعودية,high,https://www.sar.com.sa
شركة سمسا إكسبرس,SMSA Express,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://www.smsaexpress.com
شركة ناقل إكسبرس,Naqel Express,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://www.naqelexpress.com
الشركة السعودية للنقل الجماعي,SAPTCO,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.saptco.com.sa
السعودية للشحن,Saudia Cargo,الخدمات اللوجستية والنقل,منطقة مكة المكرمة,semi_government,semi:السعودية للشحن,high,https://www.saudiacargo.com
شركة مطارات القابضة,MATARAT Holding,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.matarat.com.sa
طيران الرياض,Riyadh Air,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.riyadhair.com
طيران ناس,flynas,الخدمات اللوجستية والنقل,منطقة الرياض,semi_government,semi:طيران ناس,high,https://www.flynas.com
زاجل إكسبرس,Zajil Express,الترفيه والرياضة والإعلام,منطقة الرياض,private,default,low,https://zajil-express.com
أرامكس السعودية,Aramex KSA,الخدمات اللوجستية والنقل,منطقة الرياض,private,default,low,https://www.aramex.com
محطة بوابة البحر الأحمر,RSGT,العقار والتطوير الحضري,منطقة مكة المكرمة,private,default,low,https://www.rsgt.com
باتك للاستثمار والأعمال اللوجستية,BATIC,الخدمات المالية,منطقة الرياض,private,default,low,https://www.batic.com.sa
المجدوعي للوجستيات,Almajdouie Logistics,الخدمات اللوجستية والنقل,المنطقة الشرقية,private,default,low,https://almajdouie.com
الشركة السعودية العالمية للموانئ,SGP,الخدمات اللوجستية والنقل,المنطقة الشرقية,semi_government,semi:الشركة السعودية العالمية للموانئ,high,https://www.sgp.com.sa
مجموعة الدكتور سليمان الحبيب الطبية,Dr. Sulaiman Al Habib Medical Group,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://hmg.com
شركة النهدي الطبية,Nahdi Medical Company,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://www.nahdi.sa
مستشفيات السعودي الألماني الطبية,Saudi German Health,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://saudigermanhealth.com
شركة الدواء للخدمات الطبية المحدودة,Aldawaa Medical Services,الرعاية الصحية وعلوم الحياة,المنطقة الشرقية,private,default,low,https://www.al-dawaa.com.sa
مجموعة دله الصحية,Dallah Healthcare Group,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.dallahhealth.com
شركة المواساة للخدمات الطبية,Mouwasat Medical Services,الرعاية الصحية وعلوم الحياة,المنطقة الشرقية,private,default,low,https://www.mouwasat.com
الشركة الوطنية للرعاية الطبية - رعاية,National Medical Care - CARE,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://care.med.sa
مجموعة فقيه للرعاية الصحية,Fakeeh Care Group,الرعاية الصحية وعلوم الحياة,منطقة مكة المكرمة,private,default,low,https://fakeeh.care
الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,SPIMACO,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.spimaco.com.sa
شركة تبوك للصناعات الدوائية,Tabuk Pharmaceuticals,الرعاية الصحية وعلوم الحياة,منطقة الرياض,private,default,low,https://www.tabukpharma.com
